name,chinese_name,symbol,category,currency,current_price,change_amount,change_percent,open_price,high_price,low_price,previous_close,volume,market_cap,source,timestamp
Coffee,咖啡,,农产品,USD,3.05,,1.87,,,,,,,business_insider,2025-07-25T14:12:50.476329
Sugar,糖,,农产品,USD,0.17,,1.84,,,,,,,business_insider,2025-07-25T14:12:50.476348
Tin,锡,,工业金属,USD,34949.5,,1.18,,,,,,,business_insider,2025-07-25T14:12:50.476324
Oats,燕麦,,其他,USD,3.6,,0.98,,,,,,,business_insider,2025-07-25T14:12:50.476327
EEX Strompreis Phelix DE,EEX Strompreis Phelix DE,,其他,USD,0.61,,0.61,,,,,,,business_insider,2025-07-25T14:12:50.476304
Gold,黄金,,贵金属,USD,3358.65,,-0.28,,,,,,,business_insider,2025-07-25T14:12:50.476305
Palladium,钯金,,贵金属,USD,1227.5,,-0.32,,,,,,,business_insider,2025-07-25T14:12:50.476306
Platinum,铂金,,贵金属,USD,1407.5,,-0.14,,,,,,,business_insider,2025-07-25T14:12:50.476308
Silver,白银,,贵金属,USD,39.03,,-0.18,,,,,,,business_insider,2025-07-25T14:12:50.476309
天然气,天然气(亨利中心),,能源,USD,3.1,,-0.35,,,,,,,business_insider,2025-07-25T14:12:50.476310
取暖油,取暖油,,能源,USD,63.67,,0.0,,,,,,,business_insider,2025-07-25T14:12:50.476311
Coal,煤炭,,其他,USD,104.5,,-0.24,,,,,,,business_insider,2025-07-25T14:12:50.476313
RBOB汽油,RBOB汽油,,能源,USD,2.12,,0.52,,,,,,,business_insider,2025-07-25T14:12:50.476314
布伦特原油,布伦特原油,,能源,USD,69.71,,0.5,,,,,,,business_insider,2025-07-25T14:12:50.476315
WTI原油,WTI原油,,能源,USD,66.59,,0.65,,,,,,,business_insider,2025-07-25T14:12:50.476317
Aluminium,铝,,其他,USD,2646.35,,0.22,,,,,,,business_insider,2025-07-25T14:12:50.476318
Lead,铅,,工业金属,USD,2006.7,,0.0,,,,,,,business_insider,2025-07-25T14:12:50.476319
Copper,铜,,工业金属,USD,9860.95,,0.0,,,,,,,business_insider,2025-07-25T14:12:50.476320
Nickel,镍,,工业金属,USD,15328.5,,0.03,,,,,,,business_insider,2025-07-25T14:12:50.476321
Zinc,锌,,工业金属,USD,2853.3,,-0.26,,,,,,,business_insider,2025-07-25T14:12:50.476323
Cotton,棉花,,农产品,USD,0.67,,-0.43,,,,,,,business_insider,2025-07-25T14:12:50.476325
Lumber,木材,,其他,USD,665.0,,-0.15,,,,,,,business_insider,2025-07-25T14:12:50.476328
Cocoa,可可,,农产品,USD,5326.0,,-2.24,,,,,,,business_insider,2025-07-25T14:12:50.476330
活牛,活牛,,农产品,USD,2.26,,-0.65,,,,,,,business_insider,2025-07-25T14:12:50.476332
瘦肉猪,瘦肉猪,,农产品,USD,1.08,,-0.16,,,,,,,business_insider,2025-07-25T14:12:50.476333
Corn,玉米,,农产品,USD,4.02,,0.06,,,,,,,business_insider,2025-07-25T14:12:50.476334
饲料牛,饲料牛,,农产品,USD,3.29,,-0.86,,,,,,,business_insider,2025-07-25T14:12:50.476335
Milk,牛奶,,其他,USD,17.33,,-0.12,,,,,,,business_insider,2025-07-25T14:12:50.476337
Orange Juice,橙汁,,其他,USD,3.32,,-1.75,,,,,,,business_insider,2025-07-25T14:12:50.476338
Palm Oil,棕榈油,,能源,USD,4258.0,,0.33,,,,,,,business_insider,2025-07-25T14:12:50.476339
Rapeseed,油菜籽,,其他,USD,475.25,,-0.26,,,,,,,business_insider,2025-07-25T14:12:50.476340
Rice,大米,,其他,USD,12.56,,0.24,,,,,,,business_insider,2025-07-25T14:12:50.476342
Soybean Meal,豆粕,,农产品,USD,270.8,,0.37,,,,,,,business_insider,2025-07-25T14:12:50.476343
Soybeans,大豆,,农产品,USD,10.04,,-0.1,,,,,,,business_insider,2025-07-25T14:12:50.476344
Soybean Oil,豆油,,能源,USD,0.56,,-0.53,,,,,,,business_insider,2025-07-25T14:12:50.476345
Wheat,小麦,,农产品,USD,197.5,,-0.88,,,,,,,business_insider,2025-07-25T14:12:50.476347
